kind,game_id,gameday,season,home_team,away_team,venue,start_time_utc,home_record,away_record,p_home_win,p_away_win,p_tie,derived_ml,p_home_win_derived,p_away_win_derived,mu_h,mu_a,mu_margin,mu_total,fair_spread,fair_total,spread_line,total_line,has_offer,p_cover_offered,p_push_offered,p_over_offered,p_under_offered,p_push_total_offered,home_score,away_score,total,margin,p_over_fair,p_cover_fair,y_over_fair,y_under_fair,y_push_fair,y_cover_fair,y_push_spread_fair,y_over_offered,y_under_offered,y_push_total_offered,y_cover_offered,y_push_spread_offered,y_home_win,decided,frame_view,pred_home,pred_away,p_home_cover_m8,p_push_m8,p_home_cover_m7,p_push_m7,p_home_cover_m6,p_push_m6,p_home_cover_m5,p_push_m5,p_home_cover_m4,p_push_m4,p_home_cover_m3,p_push_m3,p_home_cover_m2,p_push_m2,p_home_cover_m1,p_push_m1,p_home_cover_0,p_push_0,p_home_cover_1,p_push_1,p_home_cover_2,p_push_2,p_home_cover_3,p_push_3,p_home_cover_4,p_push_4,p_home_cover_5,p_push_5,p_home_cover_6,p_push_6,p_home_cover_7,p_push_7,p_home_cover_8,p_push_8,p_home_cover_m0_5,p_home_cover_0_5,p_over_4,p_under_4,p_push_total_4,p_over_5,p_under_5,p_push_total_5,p_over_6,p_under_6,p_push_total_6,p_over_7,p_under_7,p_push_total_7,p_over_8,p_under_8,p_push_total_8,p_over_9,p_under_9,p_push_total_9,p_over_10,p_under_10,p_push_total_10,p_over_11,p_under_11,p_push_total_11,p_over_12,p_under_12,p_push_total_12
oof,2024020199,2024-11-05,2024,STL,TBL,Enterprise Center,2024-11-06T01:00:00Z,84-87,101-75,0.5440824123213724,0.45591758767862756,0.146,0.4623,0.4789244379700537,0.3750755620299463,3.82989626981836,3.545608183595519,0.28428808622284096,7.375504453413878,0.0,7.0,,,False,,,,,,3.0,2.0,5.0,1.0,0.4577,0.4623,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.82989626981836,3.545608183595519,0.9971,0.0024,0.9931,0.004,0.9854,0.0077,0.9646,0.0208,0.9207,0.0439,0.8522,0.0685,0.7486,0.1036,0.6083,0.1403,0.4623,0.146,0.3202,0.1421,0.2025,0.1177,0.1136,0.0889,0.0597,0.0539,0.0271,0.0326,0.0109,0.0162,0.0042,0.0067,0.0014,0.0028,0.6083,0.4623,0.8533000000000001,0.06880000000000001,0.07790000000000001,0.746,0.1467,0.1073,0.6073,0.254,0.1387,0.4577,0.3927,0.1496,0.3221,0.5423,0.1356,0.2068,0.6779,0.1153,0.1263,0.7932,0.0805,0.0712,0.8737,0.0551,0.0377,0.9288,0.0335
oof,2024020205,2024-11-06,2024,WSH,NSH,Capital One Arena,2024-11-07T00:00:00Z,99-75,68-96,0.546064442680084,0.45393555731991597,0.0998,0.7718,0.6005534980530444,0.29964650194695563,4.973219591323203,2.3802852269381303,2.592934364385073,7.353504818261333,2.0,7.0,,,False,,,,,,3.0,2.0,5.0,1.0,0.4481,0.4956,0.0,1.0,0.0,0.0,0.0,,,,,,1.0,True,oof,4.973219591323203,2.3802852269381303,0.9999999979999998,9.99999998e-10,0.9997999990001999,0.0001999999998,0.9988,0.001,0.9965,0.0023,0.9898,0.0067,0.9728,0.017,0.9385,0.0343,0.8716,0.0669,0.7718,0.0998,0.6422,0.1296,0.4956,0.1466,0.3533,0.1423,0.2267,0.1266,0.1322,0.0945,0.071,0.0612,0.0347,0.0363,0.0153,0.0194,0.8716,0.7718,0.8541,0.0661,0.0798,0.7385,0.1459,0.1156,0.5962,0.2615,0.1423,0.4481,0.4038,0.1481,0.3145,0.5519,0.1336,0.1987,0.6855,0.1158,0.1201,0.8013,0.0786,0.0692,0.8799,0.0509,0.0367,0.9308,0.0325
oof,2024020206,2024-11-06,2024,CHI,DET,United Center,2024-11-07T01:00:00Z,54-110,80-84,0.5502806784433103,0.4497193215566897,0.1813,0.3658,0.4488534582846133,0.36984654171538667,2.494177714513584,2.8078643834981496,-0.31368666898456565,5.302042098011734,-1.0,5.0,,,False,,,,,,1.0,4.0,5.0,-3.0,0.4399,0.5471,0.0,0.0,1.0,0.0,0.0,,,,,,0.0,True,oof,2.494177714513584,2.8078643834981496,0.9991,0.0005,0.9966,0.0025,0.9878,0.0088,0.9668,0.021,0.9208,0.046,0.8363,0.0845,0.7133,0.123,0.5471,0.1662,0.3658,0.1813,0.2174,0.1484,0.1075,0.1099,0.0491,0.0584,0.0195,0.0296,0.0071,0.0124,0.0024,0.0047,0.0007000000000000001,0.0017000000000000001,0.0003,0.0004,0.5471,0.3658,0.6079,0.2295,0.1626,0.4399,0.3921,0.168,0.2869,0.5601,0.153,0.1684,0.7131,0.1185,0.0902,0.8316,0.0782,0.0439,0.9098,0.0463,0.0198,0.9561,0.0241,0.0085,0.9802,0.0113,0.0031,0.9915,0.0054
oof,2024020207,2024-11-06,2024,EDM,VGK,Rogers Place,2024-11-07T01:30:00Z,105-87,108-89,0.5502806784433103,0.4497193215566897,0.1658,0.5177,0.5150042117816523,0.31919578821834765,3.24645020660576,2.6594536208617927,0.5869965857439672,5.905903827467553,0.0,5.0,,,False,,,,,,2.0,4.0,6.0,-2.0,0.5324,0.5177,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,3.24645020660576,2.6594536208617927,0.9992,0.0007,0.9979,0.0013,0.9935,0.0044,0.9821,0.0114,0.9518,0.0303,0.8995,0.0523,0.8115,0.088,0.6835,0.128,0.5177,0.1658,0.3529,0.1648,0.2105,0.1424,0.1105,0.1,0.0518,0.0587,0.0222,0.0296,0.0092,0.013,0.0025,0.0067,0.0006000000000000001,0.0019000000000000002,0.6835,0.5177,0.6910000000000001,0.16260000000000002,0.14640000000000003,0.5324,0.309,0.1586,0.3765,0.4676,0.1559,0.2366,0.6235,0.1399,0.1379,0.7634,0.0987,0.0741,0.8621,0.0638,0.0382,0.9259,0.0359,0.019,0.9618,0.0192,0.0071,0.981,0.0119
oof,2024020216,2024-11-07,2024,DAL,CHI,American Airlines Center,2024-11-08T01:00:00Z,111-77,54-110,0.5376715760809748,0.4623284239190252,0.1567,0.3766,0.45232430283740677,0.3909756971625932,3.3420499913728343,3.688551030461524,-0.34650103908868957,7.030601021834358,-1.0,6.0,,,False,,,,,,3.0,1.0,4.0,2.0,0.5634,0.5333,0.0,1.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.3420499913728343,3.688551030461524,0.9939,0.004,0.9892,0.0047,0.9738,0.0154,0.9434,0.0304,0.8874,0.056,0.8023,0.0851,0.6817,0.1206,0.5333,0.1484,0.3766,0.1567,0.2449,0.1317,0.145,0.0999,0.0744,0.0706,0.0356,0.0388,0.0152,0.0204,0.0062,0.009,0.0027,0.0035,0.0014,0.0013,0.5333,0.3766,0.8311000000000001,0.07880000000000001,0.09010000000000001,0.7111,0.1689,0.12,0.5634,0.2889,0.1477,0.4118,0.4366,0.1516,0.27640000000000003,0.5882000000000001,0.13540000000000002,0.1742,0.7236,0.1022,0.1005,0.8258,0.0737,0.0536,0.8995,0.0469,0.0273,0.9464,0.0263
oof,2024020208,2024-11-07,2024,BOS,CGY,TD Garden,2024-11-08T00:00:00Z,80-90,75-89,0.5440824123213724,0.45591758767862756,0.1639,0.4024,0.460482551571472,0.375617448428528,2.958527036440209,3.069761216766461,-0.11123418032625176,6.02828825320667,-1.0,5.0,,,False,,,,,,4.0,3.0,7.0,1.0,0.5608,0.5663,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,2.958527036440209,3.069761216766461,0.9976,0.0018,0.9951,0.0025,0.9861,0.009,0.9622,0.0239,0.9185,0.0437,0.8381,0.0804,0.7172,0.1209,0.5663,0.1509,0.4024,0.1639,0.2525,0.1499,0.1403,0.1122,0.0696,0.0707,0.0268,0.0428,0.0111,0.0157,0.0039,0.0072,0.0011,0.0028,0.0006,0.0005,0.5663,0.4024,0.7189,0.149,0.1321,0.5608,0.2811,0.1581,0.3979,0.4392,0.1629,0.2575,0.6021,0.1404,0.1507,0.7425,0.1068,0.0829,0.8493,0.0678,0.0398,0.9171,0.0431,0.0173,0.9602,0.0225,0.0084,0.9827,0.0089
oof,2024020218,2024-11-07,2024,LAK,VAN,Crypto.com Arena,2024-11-08T03:30:00Z,85-89,63-101,0.5524557737115136,0.44754422628848645,0.1591,0.5385,0.5213189339488749,0.31958106605112513,3.3467250328306157,2.595938635887013,0.7507863969436026,5.942663668717628,0.0,5.0,,,False,,,,,,2.0,4.0,6.0,-2.0,0.5388000000000001,0.5385,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,3.3467250328306157,2.595938635887013,0.9996,0.0003,0.999,0.0006,0.9954,0.0036,0.984,0.0114,0.9605,0.0235,0.9111,0.0494,0.829,0.0821,0.6976,0.1314,0.5385,0.1591,0.3698,0.1687,0.225,0.1448,0.1222,0.1028,0.058100000000000006,0.06410000000000002,0.0261,0.032,0.0095,0.0166,0.0035,0.006,0.0008000000000000001,0.0027000000000000006,0.6976,0.5385,0.6984,0.1632,0.1384,0.5388000000000001,0.30160000000000003,0.15960000000000002,0.381,0.4612,0.1578,0.2484,0.619,0.1326,0.1495,0.7516,0.0989,0.079,0.8505,0.0705,0.039,0.921,0.04,0.0189,0.961,0.0201,0.0089,0.9811,0.01
oof,2024020212,2024-11-07,2024,NJD,MTL,Prudential Center,2024-11-08T00:00:00Z,85-84,98-90,0.5398566697477954,0.46014333025220455,0.16030000000000003,0.4512,0.4755427556808228,0.3641572443191772,3.1014582011388354,2.960221141607335,0.14123705953150045,6.061679342746171,0.0,5.0,,,False,,,,,,5.0,3.0,8.0,2.0,0.5587,0.45120000000000005,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,True,oof,3.1014582011388354,2.960221141607335,0.9983,0.001,0.9958,0.0025,0.9879,0.0079,0.9681,0.0198,0.9315,0.0366,0.8642,0.0673,0.7561,0.1081,0.6115,0.1446,0.45120000000000005,0.16030000000000003,0.2927,0.1585,0.1735,0.1192,0.091,0.0825,0.0412,0.0498,0.0165,0.0247,0.006900000000000001,0.009600000000000001,0.0022,0.0047,0.0008,0.0014,0.6115,0.4512,0.7196,0.1476,0.1328,0.5587,0.2804,0.1609,0.4011,0.4413,0.1576,0.2635,0.5989,0.1376,0.1628,0.7365,0.1007,0.0902,0.8372,0.0726,0.0469,0.9098,0.0433,0.0203,0.9531,0.0266,0.0094,0.9797,0.0109
oof,2024020213,2024-11-07,2024,NYR,BUF,Madison Square Garden,2024-11-08T00:00:00Z,73-91,93-84,0.5398566697477954,0.46014333025220455,0.1343,0.6399,0.5529936724105045,0.31270632758949557,3.9511300668028304,2.5067221118341996,1.4444079549686308,6.4578521786370295,1.0,6.0,,,False,,,,,,1.0,6.0,7.0,-5.0,0.4678,0.4839,1.0,0.0,0.0,0.0,0.0,,,,,,0.0,True,oof,3.9511300668028304,2.5067221118341996,0.9998999990001,9.99999999e-10,0.9993,0.0006,0.9974,0.0019,0.9916,0.0058,0.9776,0.014,0.944,0.0336,0.8774,0.0666,0.7742,0.1032,0.6399,0.1343,0.4839,0.156,0.3324,0.1515,0.2065,0.1259,0.1114,0.0951,0.0569,0.0545,0.0275,0.0294,0.0121,0.0154,0.004,0.0081,0.7742,0.6399,0.7715,0.1131,0.1154,0.625,0.2285,0.1465,0.4678,0.375,0.1572,0.3254,0.5322,0.1424,0.2057,0.6746,0.1197,0.1228,0.7943,0.0829,0.0649,0.8772,0.0579,0.0312,0.9351,0.0337,0.0161,0.9688,0.0151
oof,2024020217,2024-11-07,2024,WPG,COL,Canada Life Centre,2024-11-08T01:00:00Z,97-80,115-69,0.5524557737115136,0.44754422628848645,0.1141,0.7305,0.584362191867739,0.30153780813226105,4.40761418773697,2.2920519739375376,2.115562213799432,6.699666161674507,2.0,6.0,,,False,,,,,,1.0,0.0,1.0,1.0,0.5093000000000001,0.4312,0.0,1.0,0.0,0.0,0.0,,,,,,1.0,True,oof,4.40761418773697,2.2920519739375376,0.9999999979999998,9.99999998e-10,0.9997999990001999,0.0001999999998,0.9991,0.0007,0.9962,0.0029,0.9881,0.0081,0.968,0.0201,0.9226,0.0454,0.8446,0.078,0.7305,0.1141,0.5897,0.1408,0.4312,0.1585,0.287,0.1442,0.1797,0.1073,0.0991,0.0806,0.0505,0.0486,0.023,0.0275,0.0109,0.0121,0.8446,0.7305,0.7946,0.0987,0.1067,0.6601,0.2054,0.1345,0.5093000000000001,0.33990000000000004,0.15080000000000002,0.364,0.4907,0.1453,0.2426,0.636,0.1214,0.1459,0.7574,0.0967,0.0828,0.8541,0.0631,0.041,0.9172,0.0418,0.0206,0.959,0.0204
oof,2024020210,2024-11-07,2024,TBL,PHI,Amalie Arena,2024-11-08T00:30:00Z,101-75,80-94,0.528837109891815,0.471162890108185,0.149,0.2714,0.4163466498647459,0.4346533501352541,2.794029872161677,3.786280462411462,-0.9922505902497849,6.58031033457314,-2.0,6.0,,,False,,,,,,1.0,2.0,3.0,-1.0,0.4893,0.5768,0.0,1.0,0.0,1.0,0.0,,,,,,0.0,True,oof,2.794029872161677,3.786280462411462,0.9934,0.0037,0.9824,0.011,0.9606,0.0218,0.9164,0.0442,0.8386,0.0778,0.7232,0.1154,0.5768,0.1464,0.4204,0.1564,0.2714,0.149,0.1581,0.1133,0.0799,0.0782,0.0357,0.0442,0.0136,0.0221,0.0055,0.0081,0.0015,0.004,0.0006000000000000001,0.0009000000000000001,0.0003,0.0003,0.4204,0.2714,0.7844,0.1024,0.1132,0.6445,0.2156,0.1399,0.4893,0.3555,0.1552,0.3446,0.5107,0.1447,0.2229,0.6554,0.1217,0.1325,0.7771,0.0904,0.0756,0.8675,0.0569,0.0399,0.9244,0.0357,0.0202,0.9601,0.0197
oof,2024020215,2024-11-07,2024,STL,UTA,Enterprise Center,2024-11-08T01:00:00Z,84-87,83-87,0.5376715760809748,0.4623284239190252,0.149,0.2304,0.4003516988476109,0.4506483011523891,2.0493981693560523,3.2407750219416926,-1.1913768525856403,5.290173191297745,-2.0,5.0,,,False,,,,,,2.0,4.0,6.0,-2.0,0.4401,0.5577,1.0,0.0,0.0,0.0,1.0,,,,,,0.0,True,oof,2.0493981693560523,3.2407750219416926,0.9949,0.0039,0.9856,0.0093,0.9639,0.0217,0.9213,0.0426,0.8386,0.0827,0.7229,0.1157,0.5577,0.1652,0.3794,0.1783,0.2304,0.149,0.1147,0.1157,0.0502,0.0645,0.021,0.0292,0.0072,0.0138,0.0023,0.0049,0.0004,0.0019,9.99999999e-10,0.0003999999996,9.999999980000002e-10,9.999999980000002e-10,0.3794,0.2304,0.6111,0.2293,0.1596,0.4401,0.3889,0.171,0.2777,0.5599,0.1624,0.1661,0.7223,0.1116,0.0848,0.8339,0.0813,0.0424,0.9152,0.0424,0.019,0.9576,0.0234,0.0076,0.981,0.0114,0.0037,0.9924,0.0039
