stadium,facility,teams,lat,lon,altitude_ft,roof,tz,source
StubHub Center,StubHub,,33.864,-118.261,85.0,retractable,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
Tottenham Stadium,Tottenham,,51.6044,-0.0664,43.0,outdoor,Europe/London,wiki:https://en.wikipedia.org/wiki/Tottenham_Hotspur_Stadium elevation:open-elevation(srtm) roof:open sides fetched:2026-08-31
Wembley Stadium,Wembley,,51.5556,-0.2794,197.0,outdoor,Europe/London,wiki:https://en.wikipedia.org/wiki/Wembley_Stadium elevation:open-elevation(srtm) roof:partial fixed stand roof fetched:2026-08-31
Allianz Arena,Allianz,,48.218775,11.624753,1608.0,retractable,Europe/Berlin,wiki:https://en.wikipedia.org/wiki/Allianz_Arena elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
Deutsche Bank Park,DeutscheBankPark,,50.068056,8.645806,381.0,outdoor,Europe/Berlin,wiki:https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt) elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Azteca Stadium,Azteca,,19.303,-99.1505,7503.0,outdoor,America/Mexico_City,wiki:https://en.wikipedia.org/wiki/Estadio_Azteca elevation:open-elevation(srtm) roof:open-air bowl fetched:2026-08-31
Arena Corinthians,Corinthians,,-23.545333,-46.474305,2575.0,retractable,America/Sao_Paulo,wiki:nominatim:Neo Química Arena elevation:open-elevation(srtm) roof:retractable fetched:2026-08-31
EverBank Field,EverBank,,30.323889,-81.6375,20.0,outdoor,America/New_York,same-venue-as:TIAA Bank Stadium (2016-2017 name) roof:outdoor fetched:2026-09-25
EverBank Stadium,EverBank,,30.323889,-81.6375,20.0,outdoor,America/New_York,same-venue-as:TIAA Bank Stadium (2026 name) roof:outdoor fetched:2026-09-25
Highmark Stadium,Highmark,,42.773029,-78.792192,761.0,outdoor,America/New_York,same-venue-as:New Era Field (2023+ name) roof:outdoor fetched:2026-09-25
Huntington Bank Field,FirstEnergy,,41.506111,-81.699444,640.0,outdoor,America/New_York,same-venue-as:FirstEnergy Stadium (2023+ name) roof:outdoor fetched:2026-09-25
Northwest Stadium,FedExField,,38.907778,-76.864444,249.0,outdoor,America/New_York,same-venue-as:FedExField (2025+ name) roof:outdoor fetched:2026-09-25
Tottenham Hotspur Stadium,Tottenham,,51.6044,-0.0664,43.0,outdoor,Europe/London,same-venue-as:Tottenham Stadium (official name) roof:outdoor fetched:2026-09-25
University of Phoenix Stadium,StateFarm,,33.528,-112.263,1060.0,retractable,America/Phoenix,same-venue-as:State Farm Stadium (2016-2017 name) roof:retractable fetched:2026-09-25
Qualcomm Stadium,Qualcomm,,32.767778,-117.146389,52.0,outdoor,America/Los_Angeles,wiki:https://en.wikipedia.org/wiki/Qualcomm_Stadium elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
Twickenham Stadium,Twickenham,,51.456889,-0.239722,105.0,outdoor,Europe/London,wiki:https://en.wikipedia.org/wiki/Twickenham_Stadium elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
Estadio Banorte,Banorte,,25.669167,-100.244444,1621.0,outdoor,America/Monterrey,wiki:https://en.wikipedia.org/wiki/Estadio_Banorte elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
Caesars Superdome,Superdome,,29.950833,-90.081111,115.0,dome,America/Chicago,same-venue-as:Mercedes-Benz Superdome (2021+ name) roof:fixed fetched:2026-09-25
Reliant Stadium,NRG,,29.684858,-95.410802,49.0,retractable,America/Chicago,same-venue-as:NRG Stadium (2002-2013 name) roof:retractable fetched:2026-09-25
Georgia Dome,MBS,,33.755556,-84.4,1033.0,dome,America/New_York,same-venue-as:Mercedes-Benz Stadium (predecessor venue) roof:fixed fetched:2026-09-25
FC Bayern Munich Stadium,Allianz,,48.218775,11.624753,1608.0,retractable,Europe/Berlin,same-venue-as:Allianz Arena (club name) roof:retractable fetched:2026-09-25
Maracana Stadium,Maracana,,-22.912222,-43.160278,0.0,outdoor,America/Sao_Paulo,wiki:https://en.wikipedia.org/wiki/Maracan%C3%A3_Stadium elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
Stade de France,StadeDeFrance,,48.968056,2.896389,174.0,outdoor,Europe/Paris,wiki:https://en.wikipedia.org/wiki/Stade_de_France elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
Bernabeu,Bernabeu,,40.452948,-3.688046,2349.0,outdoor,Europe/Madrid,wiki:https://en.wikipedia.org/wiki/Santiago_Bernab%C3%A9u_Stadium elevation:open-meteo(grid) roof:partial fixed roof fetched:2026-09-25
Melbourne Cricket Ground,MCG,,-37.816527,144.978487,46.0,outdoor,Australia/Melbourne,wiki:https://en.wikipedia.org/wiki/Melbourne_Cricket_Ground elevation:open-meteo(grid) roof:open-air bowl fetched:2026-09-25
